plate.number,group,genotype,root.lenght,roots.number,comments
C1,control,Esb1,2.23,7,
C1,control,Esb1,5.16,18,
C1,control,Esb1,2.31,5,
C1,control,Esb1,2.21,10,
C1,control,Esb1,2.45,3,
C1,control,Gelp,4.31,19,
C1,control,Gelp,4.28,15,
C1,control,Gelp,4.49,11,
C1,control,Gelp,4.33,19,
C1,control,Gelp,4.38,11,
C1,control,Col_0,4.26,22,
C1,control,Col_0,4.17,18,
C1,control,Col_0,2.66,15,
C1,control,Col_0,3.276,15,
C1,control,Col_0,2.80,15,
C2,control,Col_0,6.61,18,
C2,control,Col_0,6.16,14,
C2,control,Col_0,6.70,10,
C2,control,Col_0,5.17,13,
C2,control,Col_0,3.00,5,
C2,control,Gelp,4.054,9,
C2,control,Gelp,3.925,3,
C2,control,Gelp,5.48,6,
C2,control,Gelp,6.97,21,
C2,control,Gelp,4.21,5,
C2,control,Esb1,3.065,7,
C2,control,Esb1,3.514,5,
C2,control,Esb1,2.72,5,
C2,control,Esb1,6.886,10,
C2,control,Esb1,2.978,5,
C3,control,Esb1,5.80,12,
C3,control,Esb1,6.066,12,
C3,control,Esb1,6.998,17,
C3,control,Esb1,6.603,10,
C3,control,Esb1,3.265,15,
C3,control,Gelp,3.24,2,
C3,control,Gelp,3.76,3,
C3,control,Gelp,7.031,15,
C3,control,Gelp,3.626,16,
C3,control,Gelp,4.341,15,
C3,control,Col_0,6.564,18,
C3,control,Col_0,7.083,17,
C3,control,Col_0,3.381,11,
C3,control,Col_0,3.228,11,
C3,control,Col_0,2.434,14,
C4,control,Col_0,7.001,17,
C4,control,Col_0,6.596,15,
C4,control,Col_0,6.682,20,
C4,control,Col_0,4.534,3,
C4,control,Col_0,NA,NA,
C4,control,Esb1,2.907,1,few but long
C4,control,Esb1,4.893,4,
C4,control,Esb1,3.353,4,
C4,control,Esb1,3.33,3,
C4,control,Esb1,NA,NA,
C4,control,Gelp,3.497,14,
C4,control,Gelp,3.449,3,few but long
C4,control,Gelp,4.841,22,shorter
C4,control,Gelp,6.566,11,medium
C4,control,Gelp,6.665,15,too messy
C5,control,Esb1,3.046,7,
C5,control,Esb1,2.846,7,
C5,control,Esb1,3.130,12,
C5,control,Esb1,4.256,NA,tooo messy
C5,control,Esb1,2.497,4,
C5,control,Gelp,7.388,23,
C5,control,Gelp,7.372,8,
C5,control,Gelp,4.023,6,
C5,control,Gelp,4.091,NA,
C5,control,Gelp,7.261,12,
C5,control,Col_0,5.667,15,
C5,control,Col_0,3.410,6,
C5,control,Col_0,5.524,16,
C5,control,Col_0,6.18,14,
C5,control,Col_0,4.128,3,
C6,control,Gelp,NA,NA,
C6,control,Gelp,6.954,16,
C6,control,Gelp,6.939,20,
C6,control,Gelp,7.006,15,
C6,control,Gelp,7.165,14,
C6,control,Esb1,6.573,18,
C6,control,Esb1,5.916,8,
C6,control,Esb1,4.512,7,fewer but longer
C6,control,Esb1,2.682,3,
C6,control,Esb1,4.512,3,
C6,control,Col_0,3.323,4,
C6,control,Col_0,7.434,17,
C6,control,Col_0,7.241,19,
C6,control,Col_0,3.417,5,
C6,control,Col_0,6.839,18,
C7,control,Col_0,6.442,21,
C7,control,Col_0,6.247,18,
C7,control,Col_0,2.751,11,
C7,control,Col_0,6.281,15,
C7,control,Col_0,0.956,5,
C7,control,Gelp,3.587,7,
C7,control,Gelp,7.40,26,
C7,control,Gelp,2.949,11,
C7,control,Gelp,6.34,25,
C7,control,Gelp,3.773,18,
C7,control,Esb1,6.113,19,
C7,control,Esb1,2.784,13,
C7,control,Esb1,2.879,4,
C7,control,Esb1,6.772,22,
C7,control,Esb1,6.873,16,
C8,control,Esb1,6.802,13,
C8,control,Esb1,7.52,16,
C8,control,Esb1,6.419,14,
C8,control,Esb1,3.097,12,
C8,control,Esb1,3.301,12,
C8,control,Gelp,6.960,22,
C8,control,Gelp,2.661,18,
C8,control,Gelp,4.76,12,
C8,control,Gelp,6.922,22,
C8,control,Gelp,3.139,16,
C8,control,Col_0,7.162,24,
C8,control,Col_0,7.233,16,
C8,control,Col_0,7.581,31,
C8,control,Col_0,6.917,18,
